City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Poum,NC,78.33,overcast clouds,-20.2333,164.0167,Gîte kajeon
7,Mahibadhoo,MV,81.7,overcast clouds,3.7833,72.9667,Omadhoo Inn
10,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
15,Isangel,VU,81.72,overcast clouds,-19.55,169.2667,Tanna Lodge
18,Hobart,AU,77.05,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
20,Atuona,PF,77.74,overcast clouds,-9.8,-139.0333,Villa Enata
25,Perth,AU,77.02,clear sky,-31.9333,115.8333,Beatty Lodge
36,Souillac,MU,79.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
37,Boueni,YT,80.58,scattered clouds,-12.9025,45.0761,The feet in water
41,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
45,Kandrian,PG,85.12,light rain,-6.2167,149.55,Kandrian Station
51,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
58,Bambous Virieux,MU,79.21,clear sky,-20.3428,57.7575,Casa Tia Villa
66,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
67,Lorengau,PG,79.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Bengkulu,ID,83.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
78,Bakel,SN,80.24,scattered clouds,14.905,-12.4568,Ablaye Diallo Bakel
85,Macapa,BR,77.4,scattered clouds,0.0389,-51.0664,Atalanta Hotel
88,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
94,Buala,SB,84.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
100,Butaritari,KI,82.26,few clouds,3.0707,172.7902,Isles Sunset Lodge
101,Airai,TL,77.95,overcast clouds,-8.9266,125.4092,Juvinal Martin
110,Veraval,IN,82.78,overcast clouds,20.9,70.3667,Lords Inn Somnath
112,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
120,Daru,PG,86.05,scattered clouds,-9.0763,143.2092,Daru Lodge
127,Mahebourg,MU,79.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
128,Saint-Georges,GD,79.21,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
130,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
139,Naifaru,MV,81.46,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
141,Vila Do Maio,CV,78.4,clear sky,15.1333,-23.2167,Hotel Marilu
143,Sao Filipe,CV,80.1,clear sky,14.8961,-24.4956,Hotel Xaguate
144,Champerico,GT,80.26,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
150,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
152,Wewak,PG,83.62,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
153,Itarema,BR,80.08,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
156,Iracoubo,GF,77.59,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
157,Sigli,ID,84.83,overcast clouds,5.3848,95.9609,Losmen Dua Mali
159,Boyolangu,ID,81.07,overcast clouds,-8.1181,111.8935,Yos ega cv
170,Carutapera,BR,78.12,scattered clouds,-1.195,-46.02,Lidera
172,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
178,Haapiti,PF,82.13,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
182,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
184,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
194,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
197,Harper,LR,78.28,clear sky,4.375,-7.7169,Screensaver
198,Victoria Point,AU,80.56,light rain,-27.5833,153.3,Bay Retreat Motel
204,Nalvo,PH,85.93,clear sky,16.8096,120.5108,SABALO RESIDENCE
208,Mogadishu,SO,80.22,broken clouds,2.0371,45.3438,Hotel Juba
209,Baculin,PH,85.8,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
215,Meulaboh,ID,80.53,overcast clouds,4.1363,96.1285,Kost Pria
216,Axim,GH,78.55,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
221,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
222,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
223,Kankon,IN,82.33,few clouds,15.0167,74.0167,Palolem Beach Resort
224,Seddon,AU,80.62,broken clouds,-37.8068,144.8916,Footscray Motor Inn
235,Kavieng,PG,83.8,light rain,-2.5744,150.7967,Nusa Island Retreat
245,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
249,Port Blair,IN,84.58,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
251,Kulhudhuffushi,MV,81.39,overcast clouds,6.6221,73.07,Haajy Guest House 1
274,Cockburn Town,TC,81.21,clear sky,21.4612,-71.1419,Osprey Beach Hotel
279,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
291,San Pedro,PH,85.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
292,Manggar,ID,88.09,overcast clouds,-2.8833,108.2667,Guest Hotel
294,Porto Velho,BR,77.05,broken clouds,-8.7619,-63.9039,Hotel Central
295,Bathsheba,BB,78.08,overcast clouds,13.2167,-59.5167,Atlantis Hotel
302,Prabumulih,ID,85.82,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
303,Broken Hill,AU,77.65,light rain,-31.95,141.4333,Royal Exchange Hotel
311,Magdalena,PH,85.42,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
314,Mackay,AU,85.68,scattered clouds,-21.15,149.2,International Lodge Motel
329,Port-Gentil,GA,79.3,light rain,-0.7193,8.7815,Fengshui Residence
330,Anloga,GH,82.18,broken clouds,5.7947,0.8973,Pin Drop Hotel
337,Gokak,IN,79.45,clear sky,16.1667,74.8333,Basaveshwar Sabha Bhavan
340,Baturaja,ID,85.87,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
342,Pochutla,MX,77.85,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
346,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
350,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
354,Faanui,PF,81.34,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Ambulu,ID,84.88,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
357,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
362,Teluk Nibung,ID,79.16,overcast clouds,3.001,99.8164,Hotel Assyifa
365,Kailua,US,80.58,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
366,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
367,Galle,LK,82.15,overcast clouds,6.0367,80.217,Amangalla
368,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
373,Kahului,US,78.06,broken clouds,20.8947,-156.47,Maui Seaside Hotel
377,Banjar,ID,87.66,broken clouds,-8.19,114.9675,The Hamsa Resort
378,Namatanai,PG,82.27,light rain,-3.6667,152.4333,Seagulls Inn Namatani
381,Angoche,MZ,78.71,scattered clouds,-16.2325,39.9086,Guest House HESADA
385,Tiruvallur,IN,83.84,overcast clouds,13.15,79.9167,Aarya Rooms
389,The Valley,AI,79.11,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
390,Negombo,LK,82.45,few clouds,7.2083,79.8358,Hotel Sunset Beach
396,Ewa Beach,US,80.55,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
399,Puerto Carreno,CO,78.08,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
403,Acajutla,SV,78.28,overcast clouds,13.5928,-89.8275,asi es
410,Amahai,ID,86.16,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
413,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
