City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ilulissat,GL,2021-11-23 04:04:54,69.2167,-51.1,17.62,62,20,17.27,few clouds
1,Rikitea,PF,2021-11-23 04:04:55,-23.1203,-134.9692,75.9,76,1,11.36,clear sky
2,Kapaa,US,2021-11-23 04:02:51,22.0752,-159.319,80.58,77,19,1.01,few clouds
3,Iquique,CL,2021-11-23 04:01:09,-20.2208,-70.1431,63.28,72,98,1.97,overcast clouds
4,Tuktoyaktuk,CA,2021-11-23 04:00:35,69.4541,-133.0374,-6.5,95,100,8.37,overcast clouds
5,Nhamunda,BR,2021-11-23 04:04:56,-2.1861,-56.7131,73.35,97,95,0.92,overcast clouds
6,Poum,NC,2021-11-23 04:02:43,-20.2333,164.0167,78.33,74,100,2.91,overcast clouds
7,Mahibadhoo,MV,2021-11-23 04:04:56,3.7833,72.9667,81.7,73,99,16.8,overcast clouds
8,Arlit,NE,2021-11-23 04:03:34,18.7369,7.3853,70.3,20,0,1.03,clear sky
9,Mosalsk,RU,2021-11-23 04:04:57,54.4881,34.9817,22.23,87,99,4.16,overcast clouds
10,Quatre Cocos,MU,2021-11-23 04:01:43,-20.2078,57.7625,79.09,67,2,8.84,clear sky
11,Nanfeng,CN,2021-11-23 04:04:58,23.7434,111.7959,56.08,56,96,4.81,overcast clouds
12,Nanyang,CN,2021-11-23 04:04:58,32.9947,112.5328,52.77,21,0,10.22,clear sky
13,Yar-Sale,RU,2021-11-23 04:04:59,66.8333,70.8333,14.76,96,100,5.75,light snow
14,Lesnica,RS,2021-11-23 04:04:59,44.6525,19.31,44.94,94,100,5.06,light rain
15,Isangel,VU,2021-11-23 04:05:00,-19.55,169.2667,81.72,76,99,6.82,overcast clouds
16,Punta Arenas,CL,2021-11-23 04:00:56,-53.15,-70.9167,39.11,64,100,5.64,overcast clouds
17,Adrar,MR,2021-11-23 04:05:01,20.5022,-10.0711,73.8,45,100,9.19,overcast clouds
18,Hobart,AU,2021-11-23 04:05:02,-42.8794,147.3294,77.05,51,75,1.01,broken clouds
19,Qaanaaq,GL,2021-11-23 04:05:02,77.484,-69.3632,-7.44,87,97,6.42,overcast clouds
20,Atuona,PF,2021-11-23 04:05:03,-9.8,-139.0333,77.74,75,100,9.1,overcast clouds
21,Viedma,AR,2021-11-23 04:05:03,-40.8135,-62.9967,49.93,66,8,7.65,clear sky
22,Busselton,AU,2021-11-23 04:05:03,-33.65,115.3333,71.15,42,0,10.04,clear sky
23,Saint George,US,2021-11-23 04:05:04,37.1041,-113.5841,59.47,38,1,3.0,clear sky
24,Hermanus,ZA,2021-11-23 04:05:04,-34.4187,19.2345,51.8,80,12,8.19,few clouds
25,Perth,AU,2021-11-23 04:04:14,-31.9333,115.8333,77.02,44,0,2.3,clear sky
26,San Patricio,US,2021-11-23 04:05:05,28.017,-97.5169,66.06,49,100,6.91,overcast clouds
27,Mataura,NZ,2021-11-23 04:05:06,-46.1927,168.8643,61.97,47,83,6.46,broken clouds
28,Bouafle,CI,2021-11-23 04:05:06,6.9904,-5.7442,68.97,95,10,2.68,clear sky
29,Pevek,RU,2021-11-23 04:05:06,69.7008,170.3133,-18.42,96,17,1.99,few clouds
30,Vao,NC,2021-11-23 04:02:00,-22.6667,167.4833,75.22,79,99,10.47,overcast clouds
31,Tasiilaq,GL,2021-11-23 04:05:07,65.6145,-37.6368,26.76,63,97,7.81,overcast clouds
32,Mbekenyera,TZ,2021-11-23 04:05:07,-10.0,38.9833,71.33,86,19,2.59,few clouds
33,Puerto Ayora,EC,2021-11-23 04:00:15,-0.7393,-90.3518,68.02,75,28,6.6,scattered clouds
34,Vestmannaeyjar,IS,2021-11-23 04:05:08,63.4427,-20.2734,42.42,80,100,13.82,light rain
35,Mount Gambier,AU,2021-11-23 04:05:08,-37.8333,140.7667,64.31,82,75,17.27,shower rain
36,Souillac,MU,2021-11-23 04:05:09,-20.5167,57.5167,79.36,64,14,8.08,few clouds
37,Boueni,YT,2021-11-23 04:05:09,-12.9025,45.0761,80.58,74,29,13.47,scattered clouds
38,Jamestown,US,2021-11-23 04:03:25,42.097,-79.2353,33.39,64,90,4.0,light snow
39,Innisfail,AU,2021-11-23 04:05:09,-17.5333,146.0333,98.87,63,12,11.34,few clouds
40,Severo-Kurilsk,RU,2021-11-23 04:01:38,50.6789,156.125,38.1,85,96,19.57,overcast clouds
41,Vaini,TO,2021-11-23 04:05:11,-21.2,-175.2,80.76,89,40,6.91,scattered clouds
